pdb1,pdb2,start1,end1,start2,end2,tmscore,len1,len2,raw_score,helix,sheet,loop,class1,arch1,topo1,sfam1,class2,arch2,topo2,sfam2
2cjj_A,2iw5_B,9,62,381,431,0.76678,53,50,28207,0.799196787,0,0.200803213,1,10,10,60,1,20,58,1880
2m2e_A,2iw5_B,552,605,381,430,0.69296,53,49,27847,0.814699793,0,0.185300207,1,10,10,60,1,20,58,1880
2ltp_A,2iw5_B,1,49,381,430,0.62457,48,49,27816,0.796470588,0,0.203529412,1,10,10,60,1,20,58,1880
1xd7_A,5c17_A,12,61,27,76,0.70953,49,49,26821,0.693735499,0.046403712,0.259860789,1,10,10,10,2,40,10,490
1w0t_A,2iw5_B,381,432,381,431,0.73852,51,50,26701,0.783231084,0,0.216768916,1,10,10,60,1,20,58,1880
1xd7_A,3txn_A,13,71,334,395,0.69504,58,61,26624,0.569416499,0.080482897,0.350100604,1,10,10,10,1,25,40,570
2mlg_A,5c17_A,11,59,28,77,0.6596,48,49,26603,0.690631808,0.238562092,0.0708061,1,10,10,10,2,40,10,490
1xd7_A,3chm_A,13,67,99,157,0.55529,54,58,26328,0.594989562,0.098121086,0.306889353,1,10,10,10,1,25,40,570
2qww_C,5c17_A,44,92,28,76,0.74442,48,48,26236,0.702412869,0.117962466,0.179624665,1,10,10,10,2,40,10,490
5kvr_A,5c17_A,12,71,19,76,0.62984,59,57,26233,0.683301344,0.064299424,0.252399232,1,10,10,10,2,40,10,490
4a69_D,2iw5_B,430,475,381,428,0.83576,45,47,26220,0.769751693,0,0.230248307,1,10,10,60,1,20,58,1880
2elk_A,2iw5_B,10,59,381,429,0.71328,49,48,26126,0.779156328,0,0.220843672,1,10,10,60,1,20,58,1880
1wgx_A,2iw5_B,9,59,381,427,0.73458,50,46,26107,0.619767442,0,0.380232558,1,10,10,60,1,20,58,1880
1ufm_A,5c17_A,306,356,26,77,0.56613,50,51,25903,0.643867925,0.130896226,0.225235849,1,10,10,10,2,40,10,490
3sjm_A,2iw5_B,448,500,381,430,0.73815,52,49,25815,0.76,0,0.24,1,10,10,60,1,20,58,1880
2mlg_A,3txn_A,12,67,335,390,0.66534,55,55,25807,0.581417625,0.346743295,0.07183908,1,10,10,10,1,25,40,570
1sfu_A,5c17_A,25,68,34,77,0.68901,43,43,25643,0.57002457,0.113022113,0.316953317,1,10,10,10,2,40,10,490
1u2w_D,5c17_A,45,94,27,76,0.55367,49,49,25589,0.852071006,0.014792899,0.133136095,1,10,10,10,2,40,10,490
1cf7_A,5c17_A,26,79,26,76,0.6429,53,50,25524,0.61358811,0.176220807,0.210191083,1,10,10,10,2,40,10,490
2vge_A,2vwf_A,767,817,7,54,0.85004,50,47,25449,0,0.39958159,0.60041841,1,25,40,20,2,30,30,40
2vge_A,2g6f_X,765,818,13,63,0.85858,53,50,25294,0,0.390873016,0.609126984,1,25,40,20,2,30,30,40
3lfk_D,5c17_A,35,85,26,77,0.61251,50,51,25279,0.644539615,0.175588865,0.17987152,1,10,10,10,2,40,10,490
3nqo_B,5c17_A,39,94,19,76,0.67764,55,57,25274,0.764940239,0.083665339,0.151394422,1,10,10,10,2,40,10,490
2vge_A,2drm_A,767,818,9,57,0.82067,51,48,25230,0,0.388548057,0.611451943,1,25,40,20,2,30,30,40
2vge_A,1zuu_A,767,816,9,58,0.70316,49,49,25207,0,0.397089397,0.602910603,1,25,40,20,2,30,30,40
2vge_A,4hvw_A,767,817,90,139,0.85725,50,49,25179,0,0.39835729,0.60164271,1,25,40,20,2,30,30,40
2vge_A,1pwt_A,767,817,12,59,0.82665,50,47,25170,0.006289308,0.398322851,0.595387841,1,25,40,20,2,30,30,40
2fq3_A,5c17_A,350,398,29,75,0.61281,48,46,25168,0.701388889,0.009259259,0.289351852,1,10,10,10,2,40,10,490
2vge_A,4z88_A,775,818,1340,1381,0.7721,43,41,25134,0.004830918,0.456521739,0.538647343,1,25,40,20,2,30,30,40
2vge_A,1cka_A,768,817,142,189,0.8399,49,47,25107,0.006479482,0.406047516,0.587473002,1,25,40,20,2,30,30,40
2vge_A,1w70_A,767,817,179,226,0.81877,50,47,25103,0,0.4,0.6,1,25,40,20,2,30,30,40
3f6v_A,3chm_A,39,94,99,157,0.59234,55,58,25080,0.551663748,0.288966725,0.159369527,1,10,10,10,1,25,40,570
2crg_A,2iw5_B,10,57,382,430,0.75788,47,48,25046,0.760663507,0,0.239336493,1,10,10,60,1,20,58,1880
3f6v_A,5c17_A,38,87,26,76,0.64846,49,50,25027,0.646341463,0.176829268,0.176829268,1,10,10,10,2,40,10,490
2vge_A,2enm_A,766,818,15,67,0.7537,52,52,25011,0,0.377245509,0.622754491,1,25,40,20,2,30,30,40
2pfb_B,5c17_A,50,101,27,78,0.67439,51,51,24990,0.739336493,0.132701422,0.127962085,1,10,10,10,2,40,10,490
4ou0_A,3txn_A,211,264,334,386,0.58397,53,52,24968,0.651515152,0.140692641,0.207792208,1,10,10,10,1,25,40,570
2y5c_A,2ckj_B,19,61,17,59,0.61513,42,42,24959,0.342391304,0.214673913,0.442934783,3,10,20,30,3,30,365,10
2fsw_A,5c17_A,23,74,27,78,0.65183,51,51,24951,0.634011091,0.188539741,0.177449168,1,10,10,10,2,40,10,490
1ufm_A,2mri_A,313,356,302,345,0.62406,43,43,24903,0.587105624,0.156378601,0.256515775,1,10,10,10,1,25,40,570
1sfu_A,3txn_A,25,68,340,384,0.67053,43,44,24895,0.559701493,0.119402985,0.320895522,1,10,10,10,1,25,40,570
2vge_A,3m0r_A,766,819,12,62,0.80416,53,50,24889,0,0.374753452,0.625246548,1,25,40,20,2,30,30,40
1ufm_A,3txn_A,301,355,327,382,0.74389,54,55,24873,0.683060109,0.122404372,0.194535519,1,10,10,10,1,25,40,570
4hf0_B,5c17_A,6,63,21,76,0.7776,57,55,24862,0.790890269,0.064182195,0.144927536,1,10,10,10,2,40,10,490
2vge_A,4z8a_A,777,818,1469,1508,0.78576,41,39,24824,0.007556675,0.473551637,0.518891688,1,25,40,20,2,30,30,40
3bj6_B,5c17_A,40,89,27,76,0.72252,49,49,24818,0.722916667,0.091666667,0.185416667,1,10,10,10,2,40,10,490
3f6v_A,3txn_A,40,98,334,394,0.69893,58,60,24816,0.569444444,0.274305556,0.15625,1,10,10,10,1,25,40,570
3df8_A,5c17_A,27,78,27,77,0.70634,51,50,24804,0.626033058,0.117768595,0.256198347,1,10,10,10,2,40,10,490
2cpg_B,3fmt_B,6,45,3,42,0.57159,39,39,24786,0.752186589,0.116618076,0.131195335,1,10,1220,10,1,20,1380,10
4xrf_A,3chm_A,40,99,99,157,0.6186,59,58,24747,0.584938704,0.227670753,0.187390543,1,10,10,10,1,25,40,570
2hzt_C,3chm_A,18,77,99,157,0.55382,59,58,24684,0.538602941,0.229779412,0.231617647,1,10,10,10,1,25,40,570
3pm6_A,3heb_A,200,241,81,122,0.5875,41,41,24649,0.585301837,0.112860892,0.30183727,3,20,20,70,3,40,50,2300
3cdh_A,5c17_A,43,93,27,77,0.59752,50,50,24641,0.719587629,0.063917526,0.216494845,1,10,10,10,2,40,10,490
2oqg_C,5c17_A,21,70,26,77,0.68711,49,51,24592,0.69047619,0.132936508,0.176587302,1,10,10,10,2,40,10,490
4g9y_A,5c17_A,38,87,27,76,0.6718,49,49,24591,0.684090909,0.145454545,0.170454545,1,10,10,10,2,40,10,490
3u1d_B,5c17_A,28,83,22,78,0.74551,55,56,24568,0.662135922,0.091262136,0.246601942,1,10,10,10,2,40,10,490
